title,company,description,link,listedOn,email,phone,city,region,salary,runDate
Technical Business Analyst,AugmentX,Flexible work from home contract technical business analyst role. Continue to work with data and improve PowerBI reporting across the organisation.,https://www.seek.co.nz/job/77238905?type=standout&ref=search-standalone&origin=cardTitle#sol=f56d51a6c53ec557225c1f0d08156b3cdcc56334,,jesse@augmentx.nz,,Penrose,Auckland,,2024-07-14
Senior Cyber Security Operations Analyst,Tauranga City Council,"Be responsible for ensuring protection of the Councils digital assets through proactive monitoring, vulnerability management, and maintenance.",https://www.seek.co.nz/job/77230649?type=standout&ref=search-standalone&origin=cardTitle#sol=eaee89f736911fa794c1ad6dd2ad62ff44e739f3,,rob.field@tauranga.govt.nz,,Penrose,Auckland,,2024-07-14
Senior Project Manager (12 month fixed term),Stats NZ,Opportunity for a motivated and experienced person who can lead priority projects incorporating both business change and IT delivery.,https://www.seek.co.nz/job/77232540?type=promoted&ref=search-standalone&origin=cardTitle#sol=7195b74b9f84b82a726769f2763019acbecf1aef,,recruitment@stats.govt.nz,,Wellington Central,Wellington,NZD 150000 - 155000 per annum,2024-07-14
D365 Cloud Application Engineer,Auckland Transport,"A team responsible for overseeing the implementation, support & maintenance of our customer centric web applications like D365, Azure DevOps, IDM etc.",https://www.seek.co.nz/job/77232940?type=standout&ref=search-standalone&origin=cardTitle#sol=2d9067a4378b81c54713e4784632fa85d1286c6c,,Rennie.Sharma@at.govt.nz,,Wellington Central,Wellington,,2024-07-14
Technical Lead - Web / Mobile,84 Recruitment,An opportunity to lead a passionate team and deliver meaningful and interesting projects for epic brands!,https://www.seek.co.nz/job/77230019?type=standout&ref=search-standalone&origin=cardTitle#sol=f5bef958c625ef1edbc1dd650291bde27c59a96b,,yaman@84recruitment.co.nz,,Wellington Central,Wellington,,2024-07-14
Platform Engineer – Linux (6 Month Fixed Term Contract),NOW New Zealand Limited,Fantastic opportunity to join our Product and Platform team.,https://www.seek.co.nz/job/77232092?type=standout&ref=search-standalone&origin=cardTitle#sol=b78fdd970e0037283715bf6728eed582a11b75fe,,martin@engagers.co.nz,,Wellington Central,Wellington,,2024-07-14
Senior Change Manager (12 month fixed term / 20 hours per week),Stats NZ,Opportunity to use your change management experience to support digital projects deliver successfully.,https://www.seek.co.nz/job/77232456?type=standout&ref=search-standalone&origin=cardTitle#sol=31d8e318c3fc90390940f75443274c80b2445bbd,,recruitment@stats.govt.nz,,Wellington Central,Wellington,,2024-07-14
Application Security Engineer,Talent Army - Winners of Innovation in Recruitment & Recruiter of the year 2023,"Join a dynamic team to deploy, support, and enhance security solutions for global clients across broad industries",https://www.seek.co.nz/job/77267493?type=standout&ref=search-standalone&origin=cardTitle#sol=6008ff1260f4e0100cd0926c0a8ac894ba8198bf,,dan@talent.army,,Wellington Central,Wellington,,2024-07-14
Senior Project Manager (12 month fixed term),Stats NZ,Opportunity for a motivated and experienced person who can lead priority projects incorporating both business change and IT delivery.,https://www.seek.co.nz/job/77232540?type=standout&ref=search-standalone&origin=cardTitle#sol=ad65c66f49077a231acd6eb48cb727bcb312b848,,recruitment@stats.govt.nz,,Wellington Central,Wellington,,2024-07-14
DevOps Engineer,BrightSpark Recruitment,"Working in a very exciting sector, this company hire the best talent in NZ in their space",https://www.seek.co.nz/job/77233318?type=standout&ref=search-standalone&origin=cardTitle#sol=61e3388bc42631bc98eef6cacda721b6b656ab19,,clowe@brightspark.io,021 206 5083,Wellington Central,Wellington,,2024-07-14
Test Lead - Manaaki Whenua,Manaaki Whenua - Landcare Research,We are looking for a skilled and experienced test lead who will help us with the successful delivery of our business improvement programme.,https://www.seek.co.nz/job/77236789?type=standout&ref=search-standalone&origin=cardTitle#sol=685089cd698feb99e6b7183199dcb23d4f1ad33e,,DurantM@landcareresearch.co.nz,,Wellington Central,Wellington,,2024-07-14
Senior Change Manager (12 month fixed term / 20 hours per week),Stats NZ,Opportunity to use your change management experience to support digital projects deliver successfully.,https://www.seek.co.nz/job/77232456?type=promoted&ref=search-standalone&origin=cardTitle#sol=384f1d81edd8e737966b08df26060c7a30008bfe,,recruitment@stats.govt.nz,,Petone,Wellington,"$130,000 – $150,000 per year",2024-07-14
Product Owner,RWA People - Connecting IT people with outstanding jobs,Looking for a talented Product Owner to join the team who will work closely with stakeholders to shape product strategy,https://www.seek.co.nz/job/77239184?type=standout&ref=search-standalone&origin=cardTitle#sol=2cf2f3376fd2f607fd35c005d4123a35b8f76b93,,marian@rwa.co.nz,,Petone,Wellington,"$100,000 – $130,000 per year",2024-07-14
Platform Engineer – Linux (6 Month Fixed Term Contract),NOW New Zealand Limited,Fantastic opportunity to join our Product and Platform team.,https://www.seek.co.nz/job/77232119?type=standout&ref=search-standalone&origin=cardTitle#sol=b99eac860b02f7d7e6a6835fab52d6f7861f961a,,martin@engagers.co.nz,,Petone,Wellington,,2024-07-14
Grad C# .Net Developer / Salary to $130k neg / remote option,Enterprise Technology Recruitment Ltd,Work as part of a multidisciplinary team on challenging and interesting projects.,https://www.seek.co.nz/job/77228791?type=standard&ref=search-standalone&origin=cardTitle#sol=4fa2a4edbd2ec17f97cb22d4abe765f716c29f1e,,,0274992733,Petone,Wellington,,2024-07-14
Senior QA Engineer,Waka Kotahi - NZ Transport Agency,Come and join our high performing team that takes pride in sharing knowledge and delivering project outcomes!,https://www.seek.co.nz/job/77229862?type=standout&ref=search-standalone&origin=cardTitle#sol=f8d8909fdc1c5efed77cf03063d3bd6877ab95b0,,careers@nzta.govt.nz,,Petone,Wellington,,2024-07-14
Senior QA Engineer,Waka Kotahi - NZ Transport Agency,Come and join our high performing team that takes pride in sharing knowledge and delivering project outcomes!,https://www.seek.co.nz/job/77229863?type=standout&ref=search-standalone&origin=cardTitle#sol=5d5cf86e544c17540d87f7d6a09613b8bc349af5,,careers@nzta.govt.nz,,Petone,Wellington,,2024-07-14
Senior QA Engineer,Waka Kotahi - NZ Transport Agency,Come and join our high performing team that takes pride in sharing knowledge and delivering project outcomes!,https://www.seek.co.nz/job/77229861?type=standout&ref=search-standalone&origin=cardTitle#sol=ba5ebb1147c3266f73a110c1cfb82dcdd441518c,,careers@nzta.govt.nz,,Petone,Wellington,,2024-07-14
Senior Change Manager (12 month fixed term / 20 hours per week),Stats NZ,Opportunity to use your change management experience to support digital projects deliver successfully.,https://www.seek.co.nz/job/77232456?type=promoted&ref=search-standalone&origin=cardTitle#sol=48e2e06e62cde780cc73e3b18202d9ed2b347e34,,recruitment@stats.govt.nz,,Wellington Central,Wellington,"Up to $160,000 depending upon experience",2024-07-14
Operations Manager - Atlassian Solutions Provider,JOYN,"Work remotely, implement outstanding operations and service delivery management. Optimise internal processes to provide excellent SaaS solutions.",https://www.seek.co.nz/job/77237355?type=promoted&ref=search-standalone&origin=cardTitle#sol=44325e9dfe41a47c77a47c571e01492e63caae0d,,ashley.sadler@joyn.co.nz,,Wellington Central,Wellington,,2024-07-14
SAP Functional Consultant,Douglas,You will be an SAP expert and have a particular focus on Production Planning and Warehouse Management modules,https://www.seek.co.nz/job/77230472?type=standout&ref=search-standalone&origin=cardTitle#sol=91020ed25098e425c519664789f8cbbbc5b9074c,,careers@douglas.co.nz,,Wellington Central,Wellington,,2024-07-14
