title,company,description,link,listedOn,email,phone,city,region,salary,runDate
Applications Support Analyst,MS Queensland,Join a collaborative team overseeing the maintenance and optimisation of our business applications to see real impact in a business with purpose.,https://www.seek.com.au/job/77648790?type=standout&ref=search-standalone&origin=cardTitle#sol=60cda25be0679adb4cd205dd6ea4735d5eb16436,,recruitment@msqld.org.au,,Artarmon,Sydney NSW,,2024-07-29
Junior Systems Administrator,Clicks IT Recruitment (ACT),"Contract till 30 June 2025 with up to 3*12-month extensions | Federal Government Client | NV1 Security Clearance Required | Role Based in Canberra",https://www.seek.com.au/job/77640823?type=standard&ref=search-standalone&origin=cardTitle#sol=55d68aa08040b0c575623891fc911ec661bd4e2b,,adjustments@clicks.com.au,,Artarmon,Sydney NSW,,2024-07-29
Client Support Specialist,Sentral Pty Ltd,Do you have a background in Education or Customer Support and looking for a new career opportunity?,https://www.seek.com.au/job/77623483?type=standout&ref=search-standalone&origin=cardTitle#sol=28a7678b9b11a8ac0d688d6e54b637a22e219f74,,kristy.ward@globalpay.com,,Artarmon,Sydney NSW,,2024-07-29
Equities Application Support Analyst,SKL,Leading global financial institution looking to expand their front office equities support team due to strong business growth in APAC.,https://www.seek.com.au/job/77631897?type=standard&ref=search-standalone&origin=cardTitle#sol=7d6ebda4d3c6e446cb5a0ef3e5b17718c4268bb3,,chris@skltechnology.com.au,,Artarmon,Sydney NSW,,2024-07-29
Solution Architect,Ampersand,Ideal for someone with a broad understanding of solution and system architecture. Make strategic decisions on technology architectures.,https://www.seek.com.au/job/77640469?type=standard&ref=search-standalone&origin=cardTitle#sol=110a0f81755743ebbb0bf5ad69d40c295ac5e351,,rwilson@ampersand.com.au,,Artarmon,Sydney NSW,,2024-07-29
Technical Lead,Office of the Auditor General,A newly created role leading the technical design and coordination of the company's cloud-based infrastructure.,https://www.seek.com.au/job/77600163?type=standout&ref=search-standalone&origin=cardTitle#sol=cefd914461324b31b8a1d4508d6713a16865aa1e,,sgoulding@4dtalent.com.au,,Landsdale,Perth WA,+super+bonus+health+life insurance,2024-07-29
Cyber Security Technology Specialist,Clear Learning Systems,Are you a highly skilled cyber security analyst looking for a new challenge? Do you have a deep understanding of cyber security risks and challenges?,https://www.seek.com.au/job/77647098?type=standard&ref=search-standalone&origin=cardTitle#sol=303787e0215c5722d9d66328465c88dbab3335c0,,Sudomo.yusuf@audit.wa.gov.au,,Landsdale,Perth WA,$35 - $40 p.h.,2024-07-29
Helpdesk Support,Grampians Health,Join our client at an exciting stage where no two days are the same. Become the face of the onsite support and help support up to 250 users.,https://www.seek.com.au/job/77603598?type=standout&ref=search-standalone&origin=cardTitle#sol=c3678fc328d90cce5fb3c62ad28309e410b630b4,,,810-0013031,Landsdale,Perth WA,,2024-07-29
Service Operations Analyst,Airservices Australia,Join the Technical Operations Centre (TOC) team and play an important role in supporting Airservices technology.,https://www.seek.com.au/job/77598849?type=promoted&ref=search-standalone&origin=cardTitle#sol=628b7bade906435dbe8f2547b32bebb64944c074,,rourke@airservicesaustralia.com,,Melbourne VIC,Melbourne VIC,base + super + bonus,2024-07-29
IT Systems Support Engineer (Level 2-3),NextGen HR Pty Ltd,"A leading and respected information technology solutions provider is seeking s strong IT Systems Support Engineer (L2-L3) to be based in CBD, Sydney.",https://www.seek.com.au/job/77608274?type=standout&ref=search-standalone&origin=cardTitle#sol=ac18d0c0acfe84c47e39f288dbb94d938fb0cade,,,0391190703,Melbourne VIC,Melbourne VIC,"C.$90,000 + super",2024-07-29
IT Capital & Governance Lead,The University Of Melbourne,"Support the annual process for IT investment planning, for a function of over 400 people that manages teaching, research & enterprise technologies.",https://www.seek.com.au/job/77637498?type=standout&ref=search-standalone&origin=cardTitle#sol=240583442cfb83c953510a6ea0f36bf53d59fbc2,,hr-careers@unimelb.edu.au,,Melbourne VIC,Melbourne VIC,"$65,000 – $80,000 per year",2024-07-29
Head of Finance Systems,TheDriveGroup,Head of Finance Systems to drive long-term transformation of financial systems working alongside the CIO and CFO,https://www.seek.com.au/job/77623864?type=standard&ref=search-standalone&origin=cardTitle#sol=0f7eeab79b9175b96afa6c5399df64ad0ad9bc94,,simon@thedrivegroup.com.au,,Melbourne VIC,Melbourne VIC,,2024-07-29
IT Capital & Governance Analyst,The University Of Melbourne,"Gather, analyse and communicate information for an IT function of over 300 people that manage teaching, research and enterprise technologies.",https://www.seek.com.au/job/77600945?type=standout&ref=search-standalone&origin=cardTitle#sol=3203cb8f7af74dfe33d7421bb6ba22f7b730e2a5,,hr-careers@unimelb.edu.au,,Melbourne VIC,Melbourne VIC,,2024-07-29
Senior IT Technician/Manager,Perks People Solutions,Exciting contract opportunity for a Senior IT Technician/Manager,https://www.seek.com.au/job/77594359?type=standout&ref=search-standalone&origin=cardTitle#sol=c8288a67ea79b88dbc405b8ecbea35e499adce77,,asharma@ppsconsulting.com.au,,Melbourne VIC,Melbourne VIC,,2024-07-29
Associate Director Transformation Programs,Optus,"Join Optus as an Associate Director, Transformation Programs, leading AI-driven initiatives to shape our digital future",https://www.seek.com.au/job/77597147?type=promoted&ref=search-standalone&origin=cardTitle#sol=f92e5e0c51de400683a8d1791fc8666327f210d0,,AccessibleRecruitment@optus.com.au,,Macquarie Park,Sydney NSW,"$80,000 – $90,000 per year",2024-07-29
Coordinator/ Team Leader Data and Information,Liverpool City Council,"Develop & implement a robust framework for data management, leveraging data analytic tools to generate insights & identify improvement opportunities.",https://www.seek.com.au/job/77601050?type=standout&ref=search-standalone&origin=cardTitle#sol=9f3686159ef5b5bdf8e6562914f491ab540ad608,,billas@liverpool.nsw.gov.au,,Macquarie Park,Sydney NSW,$240k - $260k p.a. + bonus component,2024-07-29
Helpdesk Support,Robert Half,Join our client at an exciting stage where no two days are the same. Become the face of the onsite support and help support up to 250 users.,https://www.seek.com.au/job/77603598?type=standout&ref=search-standalone&origin=cardTitle#sol=9d2e17b4c43368c64d49c266278f258acfef0e74,,,810-0013031,Macquarie Park,Sydney NSW,$140 - $160 per hour inc super,2024-07-29
IT Systems Support Engineer (Level 2-3),NextGen HR Pty Ltd,"A leading and respected information technology solutions provider is seeking s strong IT Systems Support Engineer (L2-L3) to be based in CBD, Sydney.",https://www.seek.com.au/job/77608274?type=standout&ref=search-standalone&origin=cardTitle#sol=a0b26af8d81431bbe0a06166f7bb0797746fe0f1,,,0391190703,Macquarie Park,Sydney NSW,base + super + bonus,2024-07-29
Head of Finance Systems,Fitness And Lifestyle Group Bidco Pty Ltd,Head of Finance Systems to drive long-term transformation of financial systems working alongside the CIO and CFO,https://www.seek.com.au/job/77623864?type=standard&ref=search-standalone&origin=cardTitle#sol=4b026de3862b1663851042df0024056d383b00e6,,simon@thedrivegroup.com.au,,Macquarie Park,Sydney NSW,,2024-07-29
Senior IT Technician/Manager,Perks People Solutions,Exciting contract opportunity for a Senior IT Technician/Manager,https://www.seek.com.au/job/77594359?type=standout&ref=search-standalone&origin=cardTitle#sol=ad3906390904f16f9e5cf9b0491d86ef99ab3211,,asharma@ppsconsulting.com.au,,Truganina,Melbourne VIC,"UOM 6 - $96,459 - $104,413 p.a. plus 17% super",2024-07-29
IT Capital & Governance Analyst,The University Of Melbourne,"Gather, analyse and communicate information for an IT function of over 300 people that manage teaching, research and enterprise technologies.",https://www.seek.com.au/job/77600945?type=standout&ref=search-standalone&origin=cardTitle#sol=88bc209d115dbdb25469453c32f99b0e5ae7ba16,,hr-careers@unimelb.edu.au,,Truganina,Melbourne VIC,"$90,067 per year",2024-07-29
Technologist Graduate Program – Early 2026 & Mid 2026 Intakes,Australian Security Intelligence Organisation,"The 12-month program will equip you with the skills, experience and knowledge to undertake a wide range of technical roles in ASIO.",https://www.seek.com.au/job/77642795?type=standout&ref=search-standalone&origin=cardTitle#sol=e9c183fce343b055a1e212aaa193b6bdce09e963,,careers@asio.gov.au,,Truganina,Melbourne VIC,"$70,000 – $80,000 per year",2024-07-29
Team Leader System Automation,Southern Rural Water,"Work for an organisation that delivers excellence in rural water management, driving growth and productivity across southern Victoria.",https://www.seek.com.au/job/77590123?type=standout&ref=search-standalone&origin=cardTitle#sol=80bbd3d903cf96bb89424c680aed1554adefd8de,,peopleandculture@srw.com.au,,Truganina,Melbourne VIC,$130k - $145k + Super,2024-07-29
Telecommunications Technician,Office Automation Mackay,"Installation and certification of ICT Structured Voice and Fibre Optic systems, Telecommunications and Network equipment.",https://www.seek.com.au/job/77605144?type=standard&ref=search-standalone&origin=cardTitle#sol=2ebd1771422449056c991538bfbd35b833391ba2,,jai@officeautomation.biz,,Truganina,Melbourne VIC,,2024-07-29
Associate Director Transformation Programs,Optus,"Join Optus as an Associate Director, Transformation Programs, leading AI-driven initiatives to shape our digital future",https://www.seek.com.au/job/77597147?type=standout&ref=search-standalone&origin=cardTitle#sol=efbc7828484ab1a8c9ab1996479b3303d520953d,,AccessibleRecruitment@optus.com.au,,Truganina,Melbourne VIC,,2024-07-29
Digital Systems Developer,SA Housing Trust,Exciting ongoing opportunity to work with key stakeholders to deliver end user applications in alignment with the needs of the organisation,https://www.seek.com.au/job/77641514?type=standout&ref=search-standalone&origin=cardTitle#sol=55b826c48634f402296b00a5cd0a1665be9f2bfc,,Brett.Colquhoun@sa.gov.au,,Truganina,Melbourne VIC,,2024-07-29
Digital Systems Developer,SA Housing Trust,Exciting ongoing opportunity to work with key stakeholders to deliver end user applications in alignment with the needs of the organisation,https://www.seek.com.au/job/77641514?type=standout&ref=search-standalone&origin=cardTitle#sol=5a30e32085985b091943f038f6552615e69baa2d,,Brett.Colquhoun@sa.gov.au,,Adelaide SA,Melbourne VIC,"$93,066 (G06.1) per annum plus 17% Superannuation",2024-07-29
Technologist Graduate Program – Early 2026 & Mid 2026 Intakes,Australian Security Intelligence Organisation,"The 12-month program will equip you with the skills, experience and knowledge to undertake a wide range of technical roles in ASIO.",https://www.seek.com.au/job/77642795?type=standout&ref=search-standalone&origin=cardTitle#sol=e845ea87f26d7b22c2d2e017ecac1dbc925d2568,,careers@asio.gov.au,,Adelaide SA,Melbourne VIC,"$120,859 - $133,183 (per annum)",2024-07-29
Team Leader System Automation,Southern Rural Water,"Work for an organisation that delivers excellence in rural water management, driving growth and productivity across southern Victoria.",https://www.seek.com.au/job/77590123?type=standout&ref=search-standalone&origin=cardTitle#sol=eacffe2ce4fb2b43ea0ed38a9474728ed5abc952,,peopleandculture@srw.com.au,,Adelaide SA,Melbourne VIC,$180k - $190000.00 p.a. + +super +bonus,2024-07-29
Service Desk Manager,Office of Sport,"Bring your technical expertise, customer centric mindset and team leadership skills to the Office of Sport!",https://www.seek.com.au/job/77601904?type=standard&ref=search-standalone&origin=cardTitle#sol=a722f3cd61913e5f9ac32470bfe4e08a8f9a9df5,,brian.horwitz@sport.nsw.gov.au,,Adelaide SA,Melbourne VIC,Base Salary + Superannuation + Bonus + Shares!,2024-07-29
Applications and Integrations Manager,Imaging Associates Group,"Our IT team are instrumental in enhancing our operational efficiency, quality & patient care through technology to support our long-term success!",https://www.seek.com.au/job/77590834?type=standout&ref=search-standalone&origin=cardTitle#sol=3d2dfb0b5f1878441fd6fefaa955cd0a439bcc07,,careers@imagingassociates.net.au,,Adelaide SA,Melbourne VIC,,2024-07-29
Information Management System Lead,Queensland Rail,We are seeking an Information Management System Specialist to join our Major Projects Integration team on an initial 2 year Contract. This role is ...,https://www.seek.com.au/job/77604010?type=standard&ref=search-standalone&origin=cardTitle#sol=3bc69d46e5a6a92648c0dc6e6b3302ff5fc3eeb9,,Kellyann.mclean@qr.com.au,,Brisbane QLD,Chatswood,$1k - $1200 p.d. (Inc. super),2024-07-29
Cyber Security Engineer,Orro Group,Cyber Security Engineer to work with counterparts across the country to support delivery of managed security services to domestic and global clients.,https://www.seek.com.au/job/77643707?type=standard&ref=search-standalone&origin=cardTitle#sol=ae0164789364d8f0af75d2bc970dcffa4d23f8a6,,careers@orro.group,,Brisbane QLD,Chatswood,Contract Rates,2024-07-29
ServiceNow Solutions Manager,The University Of Melbourne,Lead ServiceNow innovation and strategy to drive university-wide value and efficiency within the Enterprise Technology team.,https://www.seek.com.au/job/77640604?type=standout&ref=search-standalone&origin=cardTitle#sol=cc8c5ac9fb0a8e3e282b9dfeb9fcfaed6dfcae41,,hr-careers@unimelb.edu.au,,Brisbane QLD,Chatswood,106534 128897 AUD,2024-07-29
"eMR Application Specialist (Snr Analyst) - Architecture, Security and Core",South Western Sydney Local Health District,"What You'll be DoingThe eMR Application Specialist (Architecture, Security and Core) is responsible for coordinating the management of system secur...",https://www.seek.com.au/job/77625063?type=standard&ref=search-standalone&origin=cardTitle#sol=d7c073297751045eadc183d815cf679f332b5df5,,Vicki.Cooper1@health.nsw.gov.au,,Brisbane QLD,Chatswood,Base + Superannuation + Bonus + Benefits,2024-07-29
Service Operations Analyst,Airservices Australia,Join the Technical Operations Centre (TOC) team and play an important role in supporting Airservices technology.,https://www.seek.com.au/job/77598849?type=standout&ref=search-standalone&origin=cardTitle#sol=b276d7c58ade46decf13a1221a8824cadbfc11b4,,rourke@airservicesaustralia.com,,Brisbane QLD,Chatswood,,2024-07-29
Business System Analyst,Major Road Projects Victoria,The Business Analyst will play a fundamental role in planning and executing the development and migration of IT systems for MRPV,https://www.seek.com.au/job/77624717?type=standout&ref=search-standalone&origin=cardTitle#sol=aa90823c07cc7e0b7dece2a9f1201ad83da14c1a,,,106534 1288,Brisbane QLD,Chatswood,,2024-07-29
ICT Business Analyst,Goodstart Early Learning,Manage the full lifecycle of our IT projects—from initial planning to post-deployment support,https://www.seek.com.au/job/77640453?type=standout&ref=search-standalone&origin=cardTitle#sol=78f984bc246f3e3c0cbcd90d28a20edf977151f4,,recruitment@goodstart.org.au,,Brisbane QLD,Chatswood,,2024-07-29
Configuration Management,QinetiQ Australia,"You’ll share our values of Performance, Collaboration and Integrity, and our purpose to protect the safety and security of our nation. Joining our ...",https://www.seek.com.au/job/77616804?type=standard&ref=search-standalone&origin=cardTitle#sol=37f7570d751ca1d8449ab6c8902e62f42b874561,,VMutte@qinetiq.com.au,,Brisbane QLD,Chatswood,,2024-07-29
Information Management System Lead,Queensland Rail,Information Management expert with Power Shell scripting experience? Bring your skills to QLD rail and join us in our Major Projects team!,https://www.seek.com.au/job/77598091?type=standout&ref=search-standalone&origin=cardTitle#sol=1f835a6270fbf84d3c81eca03505c6b358db5621,,Kellyann.mclean@qr.com.au,,Brisbane QLD,Chatswood,,2024-07-29
Technical Analyst,Randstad Digital,seeking a Spatial Technical Analyst with previous experience in supporting delivery of Spatial ICT projects and programs for government agencies.,https://www.seek.com.au/job/77636366?type=standard&ref=search-standalone&origin=cardTitle#sol=c7d8f741330dad46945fb63bf9c966e0cd7aaee6,,Summer.hall@randstaddigital.com.au,,Brisbane QLD,Chatswood,,2024-07-29
Cyber Security Engineer,Orro Group,Cyber Security Engineer to work with counterparts across the country to support delivery of managed security services to domestic and global clients.,https://www.seek.com.au/job/77643707?type=standard&ref=search-standalone&origin=cardTitle#sol=400fad30ff2e69e1f3efff42a4fae233ea3d84d0,,careers@orro.group,,Canberra ACT,Brisbane QLD,$1k - $1200 p.d. (Inc. super),2024-07-29
ServiceNow Solutions Manager,The University Of Melbourne,Lead ServiceNow innovation and strategy to drive university-wide value and efficiency within the Enterprise Technology team.,https://www.seek.com.au/job/77640604?type=standout&ref=search-standalone&origin=cardTitle#sol=454b80030ff7463fd2cc722ae76a89a1debf6fa4,,hr-careers@unimelb.edu.au,,Canberra ACT,Brisbane QLD,"$73,905 - $93,780 per annum.",2024-07-29
Business System Analyst,Major Road Projects Victoria,The Business Analyst will play a fundamental role in planning and executing the development and migration of IT systems for MRPV,https://www.seek.com.au/job/77624717?type=standout&ref=search-standalone&origin=cardTitle#sol=d71edcf0413f0fa2e841142f9f8e2239c8c9bde9,,,106534 1288,Canberra ACT,Brisbane QLD,,2024-07-29
ICT Business Analyst,Goodstart Early Learning,Manage the full lifecycle of our IT projects—from initial planning to post-deployment support,https://www.seek.com.au/job/77640453?type=standout&ref=search-standalone&origin=cardTitle#sol=2e99bfedd6e095187c84384e9cb1c71575078eb7,,recruitment@goodstart.org.au,,Canberra ACT,Brisbane QLD,,2024-07-29
Senior Platform Integration Expert,SYPAQ Systems,SYPAQ is seeking a Senior Platform Integration Expert to provide their expertise for this large Government client based in Canberra.,https://www.seek.com.au/job/77598769?type=standout&ref=search-standalone&origin=cardTitle#sol=7521849f18fa8b01c3710c27d244f80d96784cfa,,ely.gerard@sypaq.com.au,,Canberra ACT,Brisbane QLD,,2024-07-29
Information Management System Lead,Queensland Rail,Information Management expert with Power Shell scripting experience? Bring your skills to QLD rail and join us in our Major Projects team!,https://www.seek.com.au/job/77598091?type=standout&ref=search-standalone&origin=cardTitle#sol=8fb9fe57f223950130bc90ce7d79fe1c8b4c1544,,Kellyann.mclean@qr.com.au,,Canberra ACT,Brisbane QLD,,2024-07-29
Technical Analyst,Randstad Digital,seeking a Spatial Technical Analyst with previous experience in supporting delivery of Spatial ICT projects and programs for government agencies.,https://www.seek.com.au/job/77636366?type=standard&ref=search-standalone&origin=cardTitle#sol=3c4137f8c1afdff9187abf960ec1d796c54a6d1b,,Summer.hall@randstaddigital.com.au,,Canberra ACT,Brisbane QLD,,2024-07-29
Security Operations Centre Specialist,SA Water,The Security Operations Centre Specialist is a role that will provide a 24/7 service to the business.,https://www.seek.com.au/job/77597016?type=standout&ref=search-standalone&origin=cardTitle#sol=792278832da84dabb618955f50e38c33205e0841,,Kristie.Lewis@sawater.com.au,,Canberra ACT,Brisbane QLD,,2024-07-29
Telecommunications Technician,Enerven,Are you ready for the next challenge in your career? Enerven are seeking motivated and enthusiastic telecommunications technicians to join their team!,https://www.seek.com.au/job/77605001?type=promoted&ref=search-standalone&origin=cardTitle#sol=54b4cb11416f99e8697f7aacb65d142fda21e722,,recruitment@enerven.com.au,,Marleston,Adelaide SA,"$60,000 – $80,000 per year base plus commission",2024-07-29
Senior ICT Business Analyst,Paxus,"Be part of a team that values innovation, efficiency, and collaborative solutions.",https://www.seek.com.au/job/77645588?type=standard&ref=search-standalone&origin=cardTitle#sol=44295955a4d38648ecbdf2956e7c46a53a7e701a,,zhilton@paxus.com.au,,Marleston,Adelaide SA,Base + Superannuation + Bonus + Benefits,2024-07-29
Technical Analyst,Randstad Digital,seeking a Spatial Technical Analyst with previous experience in supporting delivery of Spatial ICT projects and programs for government agencies.,https://www.seek.com.au/job/77636366?type=standard&ref=search-standalone&origin=cardTitle#sol=c98d254712f892f92bde37351cabcea0d38c0902,,Summer.hall@randstaddigital.com.au,,Marleston,Adelaide SA,"$110,000 – $140,000 per year",2024-07-29
Web Project Manager,Australasian Fire and Emergency Service Authorities Council,Great opportunity for a Project Manager or an experienced Project Coordinator to flex their skills,https://www.seek.com.au/job/77648055?type=standard&ref=search-standalone&origin=cardTitle#sol=de2862bab4401c9737d75d59f4f27608d3cefa66,,hr@afac.com.au,,Marleston,Adelaide SA,plus 15.4% superannuation,2024-07-29
Technologist Graduate Program – Early 2026 & Mid 2026 Intakes,Australian Security Intelligence Organisation,"The 12-month program will equip you with the skills, experience and knowledge to undertake a wide range of technical roles in ASIO.",https://www.seek.com.au/job/77642913?type=standout&ref=search-standalone&origin=cardTitle#sol=2e1a036f40241f163f3387e9f05d09e018d03361,,careers@asio.gov.au,,Marleston,Adelaide SA,,2024-07-29
Sales PLM - Engineering Information Management - Flexible work location & hours,Abell & Associates,"Enjoy a fully flexible work environment with a close team of professionals, providing premier Engineering IT solutions for over 35 years.",https://www.seek.com.au/job/77590466?type=standard&ref=search-standalone&origin=cardTitle#sol=0812c95fbbf4cc8fc848b7607983a8fe81705f2a,,jobs@matrix.co.nz,,Marleston,Adelaide SA,,2024-07-29
Systems Advisor - WHS Specialist,Hudson - Projects & Transformation,* ASAP start until 20 December with possible extension * Initially based in Albion with move to Nundah in September * One day per week WFH,https://www.seek.com.au/job/77645764?type=standard&ref=search-standalone&origin=cardTitle#sol=628c21e6c171ac6439dc470da5aa5ef6bf5cb6ff,,kylie.graham@hudson.com,,Marleston,Adelaide SA,,2024-07-29
Solutions Architect,Arc Infrastructure Pty Ltd,Translate business requirements into technical architectures; bridge the gap between business and technology ensuring smooth IT/OT project function.,https://www.seek.com.au/job/77645911?type=standout&ref=search-standalone&origin=cardTitle#sol=ef669fed01a1cbce76994530be66b46b626b361b,,recruitment@arcinfra.com,,Marleston,Adelaide SA,,2024-07-29
Business Analyst – Customer Experience,WGEA,Great opportunity to bring your Business Analyst – Customer Experience techniques to a workplace committed to supporting gender equality,https://www.seek.com.au/job/77637734?type=standout&ref=search-standalone&origin=cardTitle#sol=fa6a484471f30e46d6385dde379900b637290d67,,recruitment@wgea.gov.au,,Marleston,Adelaide SA,,2024-07-29
Cloud Engineer,Fujitsu Australia Limited,"Design, build, configure and implement cloud solutions predominantly based on Microsoft Azure/365.",https://www.seek.com.au/job/77595186?type=standout&ref=search-standalone&origin=cardTitle#sol=5a5c3d49b63605e5ee0d03af2beb008811fc4a9b,,careersapac@fujitsu.com,,Canberra ACT,Melbourne VIC,"$90,067 per year",2024-07-29
Telecommunications Technician,Enerven,Are you ready for the next challenge in your career? Enerven are seeking motivated and enthusiastic telecommunications technicians to join their team!,https://www.seek.com.au/job/77605001?type=standout&ref=search-standalone&origin=cardTitle#sol=ba60088e330f8419e29e40cee9d83e200830a08b,,recruitment@enerven.com.au,,Canberra ACT,Melbourne VIC,"Flexible, Hybrid and WFH options",2024-07-29
Data Cleansing Lead,Paxus,As the Data Cleansing Lead you will be responsible for preparing current and legacy data for the purposes of converting it into the systems,https://www.seek.com.au/job/77636187?type=standard&ref=search-standalone&origin=cardTitle#sol=2b0f5870202802d109e5ef892cd888fc0466bbb3,,Gshaheen@paxus.com.au,,Canberra ACT,Melbourne VIC,"Daily Rate $900/$1,100",2024-07-29
