title,company,description,link,listedOn,email,phone,city,region,salary,runDate
"12x Business Advisory, Tax and Audit Positions - AUCKLAND - Up to $5k sign-on*",,This is the best time in history to consider your career options and change jobs - candidates scoring $10k-$25k pay rises - talk to us today!,https://www.seek.co.nz/job/75713303?type=standard&ref=search-standalone&origin=cardTitle#sol=5ee75d2bd41735e38745c4c12bee1a21ead371d5,,schroeder@recruitmentexpert.co.nz,,Auckland CBD,Auckland,,2024-05-09
Payroll Officer,Rubbish Direct,Great op for a motivated Payroll Officer experienced in end-to-end payroll to look after AU & NZ payroll functions for large manufacturing Company.,https://www.seek.co.nz/job/75713673?type=standout&ref=search-standalone&origin=cardTitle#sol=cf915d302116d3433c718f6526c49bb0fae45cbc,,amanda@kingsrecruitment.co.nz,,Mount Wellington,Auckland,"$110,000 – $130,000 per year",2024-05-09
Systems Engineer,Mix Recruitment,Join our Timaru team as a Systems Engineer. Deliver top-notch customer support and technical services in a varied role. Apply now!,https://www.seek.co.nz/job/75721926?type=standout&ref=search-standalone&origin=cardTitle#sol=bd37700b2f6132b9d1f2e5d068e9081243916bda,,Melana@platinumrecruitment.co.nz,027 232 9410,Mount Wellington,Auckland,,2024-05-09
Transport Scheduler,Hilton Foods Australia,Are you ready to be at the forefront of revolutionizing freight management in New Zealand?,https://www.seek.co.nz/job/75715275?type=standard&ref=search-standalone&origin=cardTitle#sol=6230ec59629893bff8b65ea88363dd81d16540d4,,paul@talentforge.com.au,,Mount Wellington,Auckland,,2024-05-09
Senior Group Accountant,Trilogy International Limited,Get great exposure in this well rounded Senior Group Accountant role.,https://www.seek.co.nz/job/75714606?type=standout&ref=search-standalone&origin=cardTitle#sol=1d68311debfea7382e165ef6c509dddd3fec1cf0,,greta@mixrecruitment.co.nz,,Mount Wellington,Auckland,,2024-05-09
Director of Sports,ArchiPro Ltd,The successful applicant will lead an extensive co-curricular sports programme and responsible for implementing our annual Sports Strategic Plan.,https://www.seek.co.nz/job/75712703?type=standard&ref=search-standalone&origin=cardTitle#sol=0e68b462bf32a3a1490a3f232efdbf9aa1a16845,,won@gdc.school.nz,,Mount Wellington,Auckland,,2024-05-09
IT Service Delivery Manager,Mystro Management Limited,Join us and lead our IT Operations to new heights of efficiency and innovation.,https://www.seek.co.nz/job/75725167?type=promoted&ref=search-standalone&origin=cardTitle#sol=80dacf50388146d2a6db53bfcae9855031f561d6,,angela.miller@orbitwellington.com,,Wellington Central,Wellington,$110k - $125k p.a. + + Super + Bonus + Car Allowan,2024-05-09
Brand Coordinator,Entain Group PTY LTD,Catapult your marketing career and gain exposure into how a successful team are building a flourishing brand.,https://www.seek.co.nz/job/75711688?type=standout&ref=search-standalone&origin=cardTitle#sol=e79e96b7017e62deba79593569b536259a3a6134,,careers@entaingroup.com.au,,Wellington Central,Wellington,Competitive Salary + Incentive Scheme,2024-05-09
Finance Analyst,Hunter Campbell Limited,Established Kiwi Export business are seeking a Finance Analyst to join their high performing team,https://www.seek.co.nz/job/75714180?type=standout&ref=search-standalone&origin=cardTitle#sol=453af59b534d64b4126067ef0efdba9917a4c125,,katiek@huntercampbell.co.nz,,Wellington Central,Wellington,I KNOW YOU WANT TO - SO GO ON...APPLY!,2024-05-09
Business Development Manager,Alaron,"The Business Development Manager is critical in driving sales, business and product development on a day-to-day basis.",https://www.seek.co.nz/job/75713857?type=standout&ref=search-standalone&origin=cardTitle#sol=569bd12930a34f345f54378d468540161cf8a3ab,,dylan.adams@alaron.co.nz,,Wellington Central,Wellington,,2024-05-09
Brand Manager,Entain Group PTY LTD,"As a Brand Manager within our team, you will be curating an immersive brand experience that resonates with our target audience.",https://www.seek.co.nz/job/75727071?type=standout&ref=search-standalone&origin=cardTitle#sol=01c142d915475da970373c801b37ab4dba209b9a,,careers@entaingroup.com.au,,Wellington Central,Wellington,,2024-05-09
Business Analyst – Permanent - Wellington,Ministry of Social Development,"We are looking for a Business Analyst to help form up our mahi to ensure a cohesive, client-centric opti-channel experience is provided.",https://www.seek.co.nz/job/75718394?type=standout&ref=search-standalone&origin=cardTitle#sol=d78b6c91345645858703d19e561c5cda8ddaff09,,jobs@msd.govt.nz,,Wellington Central,Wellington,,2024-05-09
"12x Business Advisory, Tax and Audit Positions -Christchurch- Up to $5k sign-on*",Recruitment Expert,This is the best time in history to consider your career options and change jobs - candidates scoring $10k-$25k pay rises - talk to us today!,https://www.seek.co.nz/job/75713336?type=standard&ref=search-standalone&origin=cardTitle#sol=7aa92d7f25abf4e358fbc40e393bed475281f4d7,,schroeder@recruitmentexpert.co.nz,,Wellington Central,Wellington,,2024-05-09
Office Lead - ADM,AgRecruit Human Resources,Key administrative role within the agribusiness industry.,https://www.seek.co.nz/job/75711707?type=standout&ref=search-standalone&origin=cardTitle#sol=fe7138ec22aed0c0605d0993bc373eb4b34d48a8,,,021 224 5000,Wellington Central,Wellington,,2024-05-09
Head of Marketing,Oyster Management Limited,Bring your passion for marketing with this exciting opportunity with Oyster Property Group!,https://www.seek.co.nz/job/75724178?type=standout&ref=search-standalone&origin=cardTitle#sol=a907fa0f16be872122abde8c78b881886d5adc6c,,people@oystergroup.co.nz,,Wellington Central,Wellington,,2024-05-09
Purchasing Manager,Hunter Campbell Limited,"Hands-on leadership role where you will lead purchasing and procurement activities. Well-established, successful business with a positive culture.",https://www.seek.co.nz/job/75712777?type=standout&ref=search-standalone&origin=cardTitle#sol=c91298f274207dfc88754a9b993f8cd00ec1f846,,waynef@huntercampbell.co.nz,,Penrose,Auckland,"$80,000 - $130,000",2024-05-09
Project Coordinator,Ministry of Justice,"Are you an experienced Project Coordinator with a passion for quality delivery and attention to detail, come and join our team!",https://www.seek.co.nz/job/75717277?type=standout&ref=search-standalone&origin=cardTitle#sol=b0c5fed4ecc96c1339393c69279d39637aa9033c,,moj_teaureka@justice.govt.nz,,Penrose,Auckland,"Up to $75,000 p.a.",2024-05-09
"12x Business Advisory, Tax and Audit Positions -TAURANGA - Up to $5k sign-on*",Recruitment Expert,This is the best time in history to consider your career options and change jobs - candidates scoring $10k-$25k pay rises - talk to us today!,https://www.seek.co.nz/job/75713308?type=standard&ref=search-standalone&origin=cardTitle#sol=696f7f05b8f2d19b41d52cf4d2e468d9ee225fe6,,schroeder@recruitmentexpert.co.nz,,Penrose,Auckland,Join a business with competitive staff benefits!,2024-05-09
Document Controller,UP Talent,Document Controller opportunity with well-known tier 2 main contractor in Auckland working on projects $50m plus - Don't miss out!,https://www.seek.co.nz/job/75717974?type=standard&ref=search-standalone&origin=cardTitle#sol=c5dd731edc6e8be94805c2e45495cb800972377f,,elizabeth@uptalent.co.nz,(022) 323 5452,Penrose,Auckland,$30 - $38 p/h,2024-05-09
Junior Sales and Marketing Executive,Recruit I.T. Auckland,The Junior Sales and Marketing Executive will collaboratively target existing clients while actively pursuing new business opportunities.,https://www.seek.co.nz/job/75727163?type=standout&ref=search-standalone&origin=cardTitle#sol=4f5e2583c27d0add30108f90ec9810b2edf1d5a5,,,028 990 1044,Penrose,Auckland,,2024-05-09
Sustainability Communications Advisor,The University of Auckland,"Identify content opportunities & effective channels to engage the University & our partners on sustainability related content, support and events.",https://www.seek.co.nz/job/75714508?type=standout&ref=search-standalone&origin=cardTitle#sol=25e67d99667d86eb63a39b6759d7b6defe946356,,lisa.matthews@auckland.ac.nz,,Penrose,Auckland,,2024-05-09
Assistant Accountant,Find Recruitment Limited,Looking for an experiences Assistant Accountant to cover a team member on extended leave,https://www.seek.co.nz/job/75724500?type=standout&ref=search-standalone&origin=cardTitle#sol=c7ea8ec9069aa9d014e91827e447e424a2e5e35e,,linda.jessen@findrecruitment.co.nz,027 266 4170,Penrose,Auckland,,2024-05-09
Contract - Commercial Finance Manager: Tech Start up,Hunter Campbell Limited,Join a NZ success story that's taking it's product & service to the globe. Initial 6-month Fixed Term Contract for a strong commercial accountant,https://www.seek.co.nz/job/75711575?type=standout&ref=search-standalone&origin=cardTitle#sol=3369128f3d67ad75aba8b26237f7be4aab6d7df9,,reginam@huntercampbell.co.nz,021 220 8786,Auckland CBD,Auckland,"$76,000 – $87,000 per year",2024-05-09
Business Executive - Advertising (5),SKY TV,"Are you ready to elevate your career to new heights? We're looking for dynamic, enthusiastic and sales-savvy individuals to join our awesome team!",https://www.seek.co.nz/job/75721700?type=standout&ref=search-standalone&origin=cardTitle#sol=e3dd696325697eca7ea78719b1e58b7de7584978,,jobs@sky.co.nz,,Auckland CBD,Auckland,"$70,000 – $90,000 per year",2024-05-09
"Operations Manager - Water, Waste and Land Drainage",Kaipara District Council,"Lead water, waste and land drainage functions, ensuring alignment with customer, stakeholder and legislative requirements to achieve objectives.",https://www.seek.co.nz/job/75711697?type=standout&ref=search-standalone&origin=cardTitle#sol=09cb0ba6c19870e337295662a72bed3ce178ee17,,careers@kaipara.govt.nz,,Auckland CBD,Auckland,"$70,000 – $85,000 per year",2024-05-09
Revenue Operations Manager,Shuttlerock Limited,"This role requires a strong understanding of sales operations, a passion for driving results with exceptional analytical and interpersonal skills",https://www.seek.co.nz/job/75721802?type=standout&ref=search-standalone&origin=cardTitle#sol=02cdab5bb721f996a2601c22851270094b4fbd98,,nellie.matthews@shuttlerock.com,,Auckland CBD,Auckland,Competitive base salary + bonus + insurances,2024-05-09
Permanent Assistant Accountant,VinLink Marlborough,"We have an exciting opportunity to join VinLink Marlborough as our full-time Assistant Accountant, working in a fun and dynamic industry.",https://www.seek.co.nz/job/75720210?type=standout&ref=search-standalone&origin=cardTitle#sol=f6a254f1b5a2892106259e4445a24ca03663fea1,,job@vinlink.co.nz,,Auckland CBD,Auckland,,2024-05-09
Team Leader: Academic Registry,"Otago Polytechnic | Te Pūkenga",Lead a team in the administrative operations of our learner journey,https://www.seek.co.nz/job/75719821?type=standout&ref=search-standalone&origin=cardTitle#sol=6f9e942dd18936fda3e728e054aa7620b1faf838,,brayden.murray@op.ac.nz,,Auckland CBD,Auckland,,2024-05-09
Enterprise Project Manager,Zespri International Limited,Lead key multi-discipline business change projects from concept through to operational handover and review,https://www.seek.co.nz/job/75711716?type=standout&ref=search-standalone&origin=cardTitle#sol=43f493eb335a2843de61182c03f955588a6c90dc,,careers@zespri.com,,Auckland CBD,Auckland,,2024-05-09
"MP Support Advisor for Dana Kirkpatrick, MP",Parliamentary Service,"Work at the heart of your community, in the office of Dana Kirkpatrick, MP.",https://www.seek.co.nz/job/75714675?type=standout&ref=search-standalone&origin=cardTitle#sol=ff98ba9e1d92a0971c1636b6f9772363eb76b1d4,,recruitment@parliament.govt.nz,,Auckland CBD,Auckland,,2024-05-09
Papua New Guinea,Volunteer Service Abroad (VSA),Bring your BD experience in the academic or research sector and help establish a university business arm.,https://www.seek.co.nz/job/75725411?type=standout&ref=search-standalone&origin=cardTitle#sol=f63213c64d12cff8f3bbb579cb3d84cf9da6f26d,,volunteer@vsa.org.nz,,Auckland CBD,Auckland,,2024-05-09
Enterprise Project Manager,Zespri International Limited,Lead key multi-discipline business change projects from concept through to operational handover and review,https://www.seek.co.nz/job/75711716?type=standout&ref=search-standalone&origin=cardTitle#sol=0690b48c4d3228cf4fbc946fd965e3862c85a38d,,careers@zespri.com,,Auckland CBD,Auckland,Base + Incentive Scheme + Health & Life Insurances,2024-05-09
"MP Support Advisor for Dana Kirkpatrick, MP",Parliamentary Service,"Work at the heart of your community, in the office of Dana Kirkpatrick, MP.",https://www.seek.co.nz/job/75714675?type=standout&ref=search-standalone&origin=cardTitle#sol=3a8424f6a02c969a10249de00d0473afc6d53e78,,recruitment@parliament.govt.nz,,Auckland CBD,Auckland,,2024-05-09
Papua New Guinea,Volunteer Service Abroad (VSA),Bring your BD experience in the academic or research sector and help establish a university business arm.,https://www.seek.co.nz/job/75725411?type=standout&ref=search-standalone&origin=cardTitle#sol=03a40e45812af7d591848679ae027adb98a30310,,volunteer@vsa.org.nz,,Auckland CBD,Auckland,,2024-05-09
Royal Oak Butchery 2IC,PAK'nSAVE,Butchery 2IC Royal Oak PAK'nSAVE,https://www.seek.co.nz/job/75711629?type=standout&ref=search-standalone&origin=cardTitle#sol=b4bd91d6c1c7d6984b5ff8beaa9c0c75690ad8f3,,carol.finai@pns.co.nz,,Auckland CBD,Auckland,,2024-05-09
Chief Executive Officer,Frank & The Knowledge Hunters,A fantastic CEO role for an experienced senior leader who thrives in a vibrant and hands-on environment.,https://www.seek.co.nz/job/75714523?type=standout&ref=search-standalone&origin=cardTitle#sol=ae0dbfc79b04a18ac66a3d9f8eee6085ec737d30,,Leigh@franktkh.com,,Auckland CBD,Auckland,,2024-05-09
Product Development Technologist,Tasman District Council,"Hands on PD role | Meat, value add manufacturing | Auckland | state of the art facility | Project management",https://www.seek.co.nz/job/75725153?type=standout&ref=search-standalone&origin=cardTitle#sol=2d8a151909a7a39c08108417091249e94a4768ca,,susan.macleod@evolvescientific.com.au,,Queenstown,Otago,,2024-05-09
HR Business Partner,DOWNER NZ,Thrive in an environment where people matter most? Join this NZ success story as their HR Business Partner.,https://www.seek.co.nz/job/75713542?type=standout&ref=search-standalone&origin=cardTitle#sol=096475e3fdcc45d2a8ed0f6f35d3d9bcf6322279,,,021 220 9987,Queenstown,Otago,,2024-05-09
Health Safety & Wellbeing Manager,Te Wananga o Aotearoa,Great opportunity to develop your health and safety career supporting a diverse risk portfolio in a relationship driven role,https://www.seek.co.nz/job/75713780?type=standout&ref=search-standalone&origin=cardTitle#sol=2dcaa086c2784ec27d05c3b41d79ae037dccee77,,recruit@fphcare.co.nz,,Queenstown,Otago,,2024-05-09
English Language Teacher,New Plymouth District Council,Join us in shaping the future of education – your passion and expertise are the key to unlocking our tauira potential!,https://www.seek.co.nz/job/75717641?type=standout&ref=search-standalone&origin=cardTitle#sol=3abdbc947548a8bc2f519eda8a1f0d7d46a9d3c3,,jobs@twoa.ac.nz,,Queenstown,Otago,,2024-05-09
HR Advisor,The University of Auckland,Are you looking for flexibility but still want to thrive and grow your HR career? Read on,https://www.seek.co.nz/job/75723731?type=standout&ref=search-standalone&origin=cardTitle#sol=b33a09ef3d644c6b0fde3389c97269ff2cdba9ac,,KPMGAccessibilityNetwork@kpmg.co.nz,,Queenstown,Otago,,2024-05-09
Research Funding Adviser,Sheffield,"Provide advice and support to the University of Auckland researchers and, faculty and institute staff on the submission process.",https://www.seek.co.nz/job/75715257?type=standout&ref=search-standalone&origin=cardTitle#sol=c04b9e8a238d54d8dc5e496676190ba24410e470,,faith.welch@auckland.ac.nz,,Queenstown,Otago,,2024-05-09
Business Analyst,ASPEQ Limited,"Work both independently and as part of a team to understand; translate, and champion Aspeq's customer requirements during the development life cycle.",https://www.seek.co.nz/job/75714618?type=standout&ref=search-standalone&origin=cardTitle#sol=5a1c8f651fd855edb045559087a4b601060102df,,careers@aspeq.com,,Botany Downs,Auckland,"$70,000 – $80,000 per year",2024-05-09
P&C Business Partner,Beyond Recruitment - NZ’s best career opportunities – jobs all over Aotearoa,P&C Business Partner - 12-month FTC - North Shore - WFH,https://www.seek.co.nz/job/75725127?type=standard&ref=search-standalone&origin=cardTitle#sol=285ced4dc9c6b5627f089a05f1582c89d08bc661,,tracey.botha@beyond.co.nz,,Botany Downs,Auckland,,2024-05-09
IT Service Delivery Manager,Mystro Management Limited,Join us and lead our IT Operations to new heights of efficiency and innovation.,https://www.seek.co.nz/job/75725167?type=standout&ref=search-standalone&origin=cardTitle#sol=c85ae13b8a37e1b2f4e27070ffbb6cee7ba71f8c,,angela.miller@orbitwellington.com,,Botany Downs,Auckland,,2024-05-09
Accountant,Graham Consulting Christchurch,Reporting to the Finance Manager this is as excellent opportunity to join a well established business that can provide significant opportunities,https://www.seek.co.nz/job/75715110?type=standout&ref=search-standalone&origin=cardTitle#sol=93049452653e1d85164acc78d311fb52ee4820ed,,holly@grahamconsulting.co.nz,,Botany Downs,Auckland,,2024-05-09
Foreperson – Horticulture/ Gardening (TGA),Tauranga City Council,Lead and motivate a ground crew that is focused on maintaining gardens across Tauranga. You are responsible for the day-to-day running of a small team,https://www.seek.co.nz/job/75720173?type=standout&ref=search-standalone&origin=cardTitle#sol=a44ed1a44149ec80454e5afe42eaa8b69a1fe679,,cara.hunt@tauranga.govt.nz,027 202 4681,Botany Downs,Auckland,,2024-05-09
Pathway Mentor,Triple Summit Services Ltd,"Are you an experienced and high achieving Mentor, keen to make a real difference in the lives of others in your community? Join us.",https://www.seek.co.nz/job/75726077?type=standout&ref=search-standalone&origin=cardTitle#sol=279fe19eda3eb250754432cd5e4c3722ed6a4ccf,,admin@triplesummits.co.nz,,Botany Downs,Auckland,,2024-05-09
"Principal Advisor, Risk and Assurance",Whaikaha - Ministry of Disabled People,Lead the implementation of the Risk Management Framework across the Ministry,https://www.seek.co.nz/job/75720068?type=promoted&ref=search-standalone&origin=cardTitle#sol=ff72136bd8459255320bcf502b8bc232728159bb,,PeopleandCulture@whaikaha.govt.nz,,Wellington Central,Wellington,"$107,135 – $158,643 per year",2024-05-09
Commercial Development Manager,PF Olsen Ltd,Financially skilled person to fill the Commercial Development Manager role.This new role is pivotal in delivering new business opportunities,https://www.seek.co.nz/job/75724040?type=standout&ref=search-standalone&origin=cardTitle#sol=d51dc9b199decc236be64ffc27281d923e3a9e9c,,HR.NZ@pfolsen.com,,Wellington Central,Wellington,Base + Super + Commission + Shares,2024-05-09
Accountant,Echelon Group,This role is a 6 month contract initially but with a high chance of becoming permanent.,https://www.seek.co.nz/job/75721072?type=standout&ref=search-standalone&origin=cardTitle#sol=cebe004323bf6b68cc78d0d807eee8367c8cec38,,kerri.jennings@echelongroup.co.nz,,Wellington Central,Wellington,$129K -$152K+ 15% STI + 5% KS + health insu,2024-05-09
Recruitment Manager,Profile Group,Be part of the journey where the demand for our services has been unwavering!,https://www.seek.co.nz/job/75713355?type=standout&ref=search-standalone&origin=cardTitle#sol=48a6af7aa93d0fbf2dc0bf34bd65b0e1b9724026,,julie@profilegroup.co.nz,021 220 9987,Wellington Central,Wellington,Great benefits and hybrid work arrangements,2024-05-09
Community Services Manager,Kaipara District Council,"Play a pivotal role at Council leading the development of programs and services across Council's culture, recreation, and facility management sectors",https://www.seek.co.nz/job/75721074?type=standout&ref=search-standalone&origin=cardTitle#sol=08aa9c4671adec16674cc4f3ece8c3be586e7b4a,,careers@kaipara.govt.nz,,Wellington Central,Wellington,,2024-05-09
Financial Accountant,Kiwibank,"Are you a newly qualified Chartered Accountant, or close to becoming one, with some wk experience and looking for an opportunity to grow their career?",https://www.seek.co.nz/job/75713668?type=standout&ref=search-standalone&origin=cardTitle#sol=b86890630dffd779b2a88098625fe8195e9a7170,,Jackie.stephens@Kiwibank.co.nz,,Wellington Central,Wellington,,2024-05-09
Commercial Broker Support,Beyond Recruitment - NZ’s best career opportunities – jobs all over Aotearoa,"Are you an experienced Commercial Insurance Broker Support, looking to work around a busy school schedule or enjoy an amazing work/life balance?",https://www.seek.co.nz/job/75714357?type=standard&ref=search-standalone&origin=cardTitle#sol=d062d992cc131bcbe6b70ad56bf8adbb2299162a,,sol.jones@beyond.co.nz,021 049 3060,Takapuna,Auckland,"up to $140,000 per year (AUD)",2024-05-09
HR Contractor,EMERGENT,HR contract to start as soon as possible. Extra pair of hands during busy time Strong ER skills essential. ASAP Start,https://www.seek.co.nz/job/75725890?type=standard&ref=search-standalone&origin=cardTitle#sol=6020c356f25bdecab19abd1dc910fd0fc12d5361,,rachel.swann@emergent.co.nz,,Takapuna,Auckland,"$90,000 – $100,000 per year",2024-05-09
Pricing & Promotions Analyst,Foodstuffs South Island Limited,"Join us as a Pricing & Promotions Insights Analyst, where you'll take the lead in shaping our strategic decisions",https://www.seek.co.nz/job/75723898?type=standout&ref=search-standalone&origin=cardTitle#sol=cc35ed865025192046ebadfc3255478285fd44c8,,centralrecruitment@foodstuffs-si.co.nz,,Takapuna,Auckland,,2024-05-09
Manager Roads,LG Services Group,Make a significant impact on road operations for a thriving community in a tranquil regional setting.,https://www.seek.co.nz/job/75724949?type=standout&ref=search-standalone&origin=cardTitle#sol=64c952a6be21e603d93eb4702cd50fae8126b148,,helen@lgsg.au,,Takapuna,Auckland,,2024-05-09
Manager Strategic Policy- Strategy and Corporate Services,Department of Corrections,Provide strong leadership and development to your team in this critical role,https://www.seek.co.nz/job/75719774?type=standout&ref=search-standalone&origin=cardTitle#sol=d3c37751cb26f3563259699e4600b616474d6a4b,,careers@corrections.govt.nz,,Takapuna,Auckland,,2024-05-09
Chief Financial Officer,LG Services Group,Are you a dynamic financial leader ready to make a significant impact in a thriving community?,https://www.seek.co.nz/job/75720937?type=promoted&ref=search-standalone&origin=cardTitle#sol=9f21d87442af19e898171600b23ff27818393c2b,,helen@lgsg.au,,Auckland CBD,Auckland,"$160,000 – $170,000 - subsidised rental avaliable (AUD)",2024-05-09
IT Service Delivery Manager,Mystro Management Limited,Join us and lead our IT Operations to new heights of efficiency and innovation.,https://www.seek.co.nz/job/75725167?type=promoted&ref=search-standalone&origin=cardTitle#sol=91387686aeaf3ba2d60a0abadf88083115105fae,,angela.miller@orbitwellington.com,,Auckland CBD,Auckland,"$100,000 – $120,000 per year (negotiable)",2024-05-09
Dispute Resolution Lawyer,Cook Morris Quinn,Wide range of interesting work with work-life balance,https://www.seek.co.nz/job/75719936?type=standard&ref=search-standalone&origin=cardTitle#sol=023a6d4d227124b66bc748637b9a2b872c38d941,,andrew.cook@cmqlaw.co.nz,,Auckland CBD,Auckland,$129K -$152K+ 15% STI + 5% KS + health insu,2024-05-09
Manager at Anytime Fitness Cashmere,Anytime Fitness Cashmere,Ignite Your Career with Anytime Fitness Cashmere. We're on the lookout for a dynamic + enthusiastic Manager to boost our club to even greater heights!,https://www.seek.co.nz/job/75714283?type=standard&ref=search-standalone&origin=cardTitle#sol=02f3b59cf7c29dae2563dfd9378ad9658d4a504f,,sally.lovell@anytimefitness.co.nz,,Auckland CBD,Auckland,"$90,000 – $120,000 per year",2024-05-09
Senior Financial Accountant,Enatel,Provide financial reporting and insightful information whilst being responsible for core Financial Accounting,https://www.seek.co.nz/job/75717816?type=standout&ref=search-standalone&origin=cardTitle#sol=b25cb56ea203fdeb6066d919936e5e05c5469f96,,recruitment@enatel.net,,Auckland CBD,Auckland,"$78,222 – $94,689 per year",2024-05-09
Intermediate Accountant,Bennett Currie (2014) Limited,Going nowhere in your current role? Need a change and chance to progress?,https://www.seek.co.nz/job/75720282?type=standard&ref=search-standalone&origin=cardTitle#sol=f3367cceb2c16195f4e8f7eca54fd4b001b73b0a,,nikkie@bennettcurrie.co.nz,,Auckland CBD,Auckland,,2024-05-09
Project Manager - Painting,Bureau Limited,Project Manager required to join a centrally located painting contractor,https://www.seek.co.nz/job/75723179?type=standout&ref=search-standalone&origin=cardTitle#sol=bff70a1286f1136c2eff742a4eca24551ce1df70,,,0212772131,Auckland CBD,Auckland,,2024-05-09
Management Accountant,Stellar Recruitment,"Developing job/project system, support works projects, analyse fin spend, prep of annual budget & forecast, subject matter expert on Bus Cent System",https://www.seek.co.nz/job/75719115?type=standout&ref=search-standalone&origin=cardTitle#sol=aa64849d5f9975fac01da77d38f8abde7f705130,,,021 245 0569,Auckland CBD,Auckland,,2024-05-09
"Process Improvement Analyst, Te Pae Tawhiti",Ministry of Social Development,Contribute to the improvement of service delivery and business processes from the initial idea through to the final implementation.,https://www.seek.co.nz/job/75720835?type=standout&ref=search-standalone&origin=cardTitle#sol=bf29e919b63577bf4af83a76e1e9318b5f6b492d,,jobs@msd.govt.nz,,Auckland CBD,Auckland,,2024-05-09
HR Business Partner,Profile Group,Thrive in an environment where people matter most? Join this NZ success story as their HR Business Partner.,https://www.seek.co.nz/job/75713543?type=standout&ref=search-standalone&origin=cardTitle#sol=2e950285c7435565e98c4b4db8f0d1794b4d12f0,,,021 220 9987,Auckland CBD,Auckland,,2024-05-09
Giltrap Audi Service Advisor,Giltrap Group Holdings,Giltrap Audi Service Advisor (Grey Lynn),https://www.seek.co.nz/job/75727057?type=standout&ref=search-standalone&origin=cardTitle#sol=e0b4416c2a460a0ed287f20f0b92ffd4c0a7e5d1,,skuun@giltrapaudi.co.nz,,Auckland CBD,Auckland,,2024-05-09
