title,company,description,link,listedOn,email,phone,city,region,salary,runDate
Mobile Test Engineer,Basis NZ Limited,"An exciting opportunity to contribute to the development of our world-class Smart Panel, and it's mobile applications!",https://www.seek.co.nz/job/77603297?type=standout&ref=search-standalone&origin=cardTitle#sol=38046df2d4bcad168e5372982c2bc3711de0be44,,talent@wearebasis.com,,Christchurch Central,Canterbury,,2024-07-29
Product Owner,Waka Kotahi - NZ Transport Agency,Product Owner role responsible for prioritising and managing the Product backlog to ensure the Product and Platform squads deliver rewarding Products,https://www.seek.co.nz/job/77595743?type=standout&ref=search-standalone&origin=cardTitle#sol=ca91ca53fb13947fdc45520012c647e9e7549511,,careers@nzta.govt.nz,,Christchurch Central,Canterbury,,2024-07-29
Site Reliability Engineer,Basis NZ Limited,"An exciting opportunity to grow your DevSecOps skills in a fast-paced, NZ based start-up! ⚡️",https://www.seek.co.nz/job/77604843?type=standout&ref=search-standalone&origin=cardTitle#sol=ef4241376981cf5c35da48a4c26642e5cb131943,,talent@wearebasis.com,,Christchurch Central,Canterbury,,2024-07-29
Security Advisor,Waka Kotahi - NZ Transport Agency,"support the redefinition of the Agency's approach to Security Governance, Security Risk Management and Compliance activities.",https://www.seek.co.nz/job/77635209?type=standout&ref=search-standalone&origin=cardTitle#sol=e04d8d76208053867f8be5a6853312c53bb150a2,,careers@nzta.govt.nz,,Christchurch Central,Canterbury,,2024-07-29
Technical Lead,Digital Garage,"Contribute to an impactful greenfield project, tackle exciting challenges, and shape the future of technology.",https://www.seek.co.nz/job/77600755?type=standout&ref=search-standalone&origin=cardTitle#sol=1e392e75b7f4318eeff9d5ea81cfa0574e00e7bc,,sofia@digitalgarage.co.nz,0211813172,Christchurch Central,Canterbury,,2024-07-29
Delivery Lead,Younity,Are you an experienced professional with a passion for delivering impactful digital and business transformation? Please continue reading.,https://www.seek.co.nz/job/77635748?type=standout&ref=search-standalone&origin=cardTitle#sol=aecdaa24dd8b1672af481d53cf0648e359e39403,,Cornelia@younity.co.nz,,Wellington,Auckland CBD,Apply Now for Confidential Discussion,2024-07-29
Senior Technical Business Analyst,Convergence,Senior Business Analyst - WMS and ERP Project,https://www.seek.co.nz/job/77630925?type=standout&ref=search-standalone&origin=cardTitle#sol=e1647d36d17a8141ac652d3790e75570dbf2a1f6,,claireg@convergencepartners.co.nz,,Wellington,Auckland CBD,$110-115k,2024-07-29
D365 Administrator,Find IT Recruitment,Crucial role with a tight-knit public sector team in the CBD!,https://www.seek.co.nz/job/77600012?type=standout&ref=search-standalone&origin=cardTitle#sol=60caf7a5c8454d35945eccff11d32e43db6a0f5d,,adam.poulopoulos@findrecruitment.co.nz,,Wellington,Auckland CBD,,2024-07-29
Customer Onboarding Manager,NOW New Zealand Limited,Are you ready to make a real impact on our customers' first impressions?,https://www.seek.co.nz/job/77636548?type=standout&ref=search-standalone&origin=cardTitle#sol=103dae65beb8ccc8d59efcc0642e76828250556c,,louise@engagers.co.nz,027 205 8356,Wellington,Auckland CBD,,2024-07-29
Intermediate Project Manager,Younity,"We are looking for an Intermediate Project manager with 5-7 years of industry experience, ideally in consulting.",https://www.seek.co.nz/job/77641697?type=standout&ref=search-standalone&origin=cardTitle#sol=bee8b9493e85302b87f47c8adc9ef978c34c51b6,,,0211975740,Wellington,Auckland CBD,,2024-07-29
Senior Business Architect,Inland Revenue,"Provide targeted Business architecture expertise and design advice to Senior leadership, Policy and Government.",https://www.seek.co.nz/job/77635354?type=standout&ref=search-standalone&origin=cardTitle#sol=4c6083eee188c13f2c35f0dc7bfc0f4ad6f55c5f,,Julie.Galang@ird.govt.nz,,Wellington Central,Wellington,Growth & development opportunities,2024-07-29
Azure Integration Architect,Momentum Consulting Group,Design and implement integration solutions & collaborate with cross-functional teams + clients,https://www.seek.co.nz/job/77600027?type=standout&ref=search-standalone&origin=cardTitle#sol=ae555f58cf56a725af1fec7370cf684ded96fe02,,paula@momentum.co.nz,,Wellington Central,Wellington,Twelve month+ contract,2024-07-29
Security Advisor,Waka Kotahi - NZ Transport Agency,"support the redefinition of the Agency's approach to Security Governance, Security Risk Management and Compliance activities.",https://www.seek.co.nz/job/77635200?type=standout&ref=search-standalone&origin=cardTitle#sol=f1671b5dfd60896a8e6f143ec3d57413694dc703,,careers@nzta.govt.nz,,Wellington Central,Wellington,,2024-07-29
Embedded Engineer,Randstad Digital,We are seeking an Embedded Engineer to join a large and dynamic products team.,https://www.seek.co.nz/job/77589458?type=standard&ref=search-standalone&origin=cardTitle#sol=f519f63310c2f6ab4efc5928bfab2bf495bfb33a,,amaan.kazmi@randstaddigital.co.nz,022 060 7986,Wellington Central,Wellington,,2024-07-29
Back End Developer,Absolute IT Limited,"Join an innovative startup as a Backend Developer – work with cutting-edge tech, collaborate with top talent, and drive your career forward!",https://www.seek.co.nz/job/77635941?type=standout&ref=search-standalone&origin=cardTitle#sol=9acec9a40eba21f38cfdae92ba5484f9bdc91aa0,,nithya.mastry@absoluteit.co.nz,,Wellington Central,Wellington,,2024-07-29
Project Manager,Crew Technology Recruitment,A great opportunity for an experienced Project Manager to spearhead end-to-end projects and drive digital transformation,https://www.seek.co.nz/job/77590939?type=standout&ref=search-standalone&origin=cardTitle#sol=2d0e544639aed03460c32b8ab21166bea6ab1bc1,,narna@crewconsulting.co.nz,,Wellington Central,Wellington,,2024-07-29
Product Owner,Waka Kotahi - NZ Transport Agency,Product Owner role responsible for prioritising and managing the Product backlog to ensure the Product and Platform squads deliver rewarding Products,https://www.seek.co.nz/job/77595744?type=standout&ref=search-standalone&origin=cardTitle#sol=373c310d7b96d7bd6c48e80b2df0403ca6243eb5,,careers@nzta.govt.nz,,Wellington Central,Wellington,,2024-07-29
Database Improvement Specialist,Crew Technology Recruitment,"Great opportunity for a DBA experienced in a Development environment, or a seasoned Database professional to take a step up in your career!",https://www.seek.co.nz/job/77590822?type=standout&ref=search-standalone&origin=cardTitle#sol=3f377ee08251bb7e0532c1d085c3c973d1e8ffde,,james.hurren@crewconsulting.co.nz,,Wellington Central,Wellington,,2024-07-29
Team Leader Site Reliability,Reserve Bank of New Zealand,Bring your leadership and deep site reliability experience to lead the Site Reliability team here at RBNZ,https://www.seek.co.nz/job/77637433?type=standout&ref=search-standalone&origin=cardTitle#sol=44b1c1cb9670b4f198f4018a660563dc195d47a9,,recruitment@rbnz.govt.nz,,Wellington,Grafton,$100.00 - $110.00 p.h.,2024-07-29
Senior Business Architect,Inland Revenue,"Provide targeted Business architecture expertise and design advice to Senior leadership, Policy and Government.",https://www.seek.co.nz/job/77644914?type=standout&ref=search-standalone&origin=cardTitle#sol=593d0d26ff23bdb3ced9e733e289a457da19701f,,Julie.Galang@ird.govt.nz,,Wellington,Grafton,"$70,000 – $90,000 per year",2024-07-29
Senior Analyst Programmer,Younity,Are you an experienced BluePrism RPA programmer with a passion for automation and a knack for problem-solving? Carry on reading!,https://www.seek.co.nz/job/77640446?type=standout&ref=search-standalone&origin=cardTitle#sol=47b1f0cb65c18dbe3d4123d88549297d394ca739,,Cornelia@younity.co.nz,,Wellington,Grafton,Salary + Income Protection and Life Insurance,2024-07-29
Change and Release Environments Manager,Waka Kotahi - NZ Transport Agency,"This role will focus on leading and managing the digital change, release & environments function for the National Ticketing Solution (NTS) Programme.",https://www.seek.co.nz/job/77600531?type=standout&ref=search-standalone&origin=cardTitle#sol=04200fb35970549345e9c00493382962f47fd762,,careers@nzta.govt.nz,,Wellington,Grafton,,2024-07-29
Security Advisor,Waka Kotahi - NZ Transport Agency,"support the redefinition of the Agency's approach to Security Governance, Security Risk Management and Compliance activities.",https://www.seek.co.nz/job/77635207?type=standout&ref=search-standalone&origin=cardTitle#sol=b0032fa25f6db2efc1e752b4bc3992bfcf158069,,careers@nzta.govt.nz,,Wellington,Grafton,,2024-07-29
Senior Analyst Programmer - RPA,Younity,"12-month contract for a Senior Analyst Programmer with RPA experience, based in Wellington.",https://www.seek.co.nz/job/77640816?type=standout&ref=search-standalone&origin=cardTitle#sol=abe534a285752397e73b5ce1021c4d12bb6c6efc,,chloe@younity.co.nz,,Wellington,Grafton,,2024-07-29
"Contract senior fullstack developer (C# .Net , NodeJS)",salt,-Leading IT services & Consulting brand -Contract position ; initial 6 months -Likelihood of extension -Auckland based ; Hybrid model ; Flexible,https://www.seek.co.nz/job/77626043?type=standout&ref=search-standalone&origin=cardTitle#sol=45a1f571b30ea1fe563db54b16d187fe0a3b6275,,dchoudhuri@welovesalt.com,0220606355,Wellington,Grafton,,2024-07-29
Product Owner,Waka Kotahi - NZ Transport Agency,Product Owner role responsible for prioritising and managing the Product backlog to ensure the Product and Platform squads deliver rewarding Products,https://www.seek.co.nz/job/77595746?type=standout&ref=search-standalone&origin=cardTitle#sol=56b5e51fa92b8e4e8be1e9d99a6fb990f1153c95,,careers@nzta.govt.nz,,Wellington,Grafton,,2024-07-29
Security Analyst,Sharesies,We're on the lookout for a collaborative and curious Security Analyst to join our team!,https://www.seek.co.nz/job/77597479?type=standout&ref=search-standalone&origin=cardTitle#sol=ae51c49d0b6101bb48dd9e0268dc829a19aac01f,,pxteam@sharesies.co.nz,,Wellington,Grafton,,2024-07-29
Data Test Analyst,Recruit I.T. Wellington,SQL experience for data validation  Strong ETL testing skills using databases and integration testing  Experience with Cloud,https://www.seek.co.nz/job/77590242?type=standout&ref=search-standalone&origin=cardTitle#sol=af1a1297ba40a98752f13124de24cc4bbced2639,,rita@recruitit.co.nz,,Wellington,Auckland CBD,"$90,000-$120,000",2024-07-29
